REGION,TYPE,AREA,GENDER,MATH,READING,SCIENCE
CENTRAL,PUBLIC,URBAN,Male,604.775,506.49,540.228
CENTRAL,PUBLIC,URBAN,Male,565.127,534.879,542.466
CENTRAL,PUBLIC,URBAN,Female,536.073,510.269,547.128
CENTRAL,PUBLIC,URBAN,Male,622.846,599.195,621.354
CENTRAL,PUBLIC,URBAN,Female,544.641,583.981,548.993
CENTRAL,PUBLIC,URBAN,Female,472.2,480.085,441.57
CENTRAL,PUBLIC,URBAN,Female,471.888,562.534,500.504
CENTRAL,PUBLIC,URBAN,Female,470.876,513.287,488.381
CENTRAL,PUBLIC,URBAN,Female,628.844,635.69,591.235
CENTRAL,PUBLIC,URBAN,Female,569.723,490.729,595.244
CENTRAL,PUBLIC,URBAN,Female,452.804,507.012,463.484
CENTRAL,PUBLIC,URBAN,Female,520.572,497.401,561.022
CENTRAL,PUBLIC,URBAN,Female,532.178,548.396,491.179
CENTRAL,PUBLIC,URBAN,Female,567.464,645.937,581.35
CENTRAL,PUBLIC,URBAN,Male,623.469,628.707,567.922
CENTRAL,PUBLIC,URBAN,Male,654.16,558.777,578.833
CENTRAL,PUBLIC,URBAN,Male,518.079,517.958,477.191
CENTRAL,PUBLIC,URBAN,Male,524.856,501.839,549.925
CENTRAL,PUBLIC,URBAN,Male,489.648,497.348,532.768
CENTRAL,PUBLIC,URBAN,Female,551.651,614.323,607.553
CENTRAL,PUBLIC,URBAN,Male,561.778,590.213,611.47
CENTRAL,PUBLIC,URBAN,Male,600.179,577.382,576.035
CENTRAL,PUBLIC,URBAN,Male,458.257,486.843,434.577
CENTRAL,PUBLIC,URBAN,Female,578.291,643.554,588.437
CENTRAL,PUBLIC,URBAN,Female,531.087,592.718,518.221
CENTRAL,PUBLIC,URBAN,Female,575.02,654.833,610.351
CENTRAL,PUBLIC,URBAN,Female,431.695,486.281,426.837
CENTRAL,PUBLIC,URBAN,Male,521.74,544.503,541.533
CENTRAL,PUBLIC,URBAN,Male,752.773,671.21,690.078
CENTRAL,PUBLIC,URBAN,Male,399.213,463.506,519.806
CENTRAL,PUBLIC,URBAN,Male,543.395,494.14,519.713
CENTRAL,PUBLIC,URBAN,Male,663.896,570.967,639.351
CENTRAL,PUBLIC,URBAN,Male,568.243,539.691,574.823
CENTRAL,PUBLIC,URBAN,Female,592.078,601.376,615.2
CENTRAL,PUBLIC,URBAN,Male,429.514,438.325,471.223
NORTH,PUBLIC,URBAN,Male,572.605,466.634,523.816
NORTH,PUBLIC,URBAN,Male,525.479,474.092,557.945
NORTH,PUBLIC,URBAN,Female,515.976,530.762,501.716
NORTH,PUBLIC,URBAN,Male,564.426,523.01,584.987
NORTH,PUBLIC,URBAN,Female,486.376,522.819,470.944
NORTH,PUBLIC,URBAN,Male,608.202,492.216,599.347
NORTH,PUBLIC,URBAN,Male,513.561,484.437,497.053
NORTH,PUBLIC,URBAN,Male,432.708,418.597,454.532
NORTH,PUBLIC,URBAN,Male,470.876,457.09,472.249
NORTH,PUBLIC,URBAN,Female,527.972,549.031,532.208
NORTH,PUBLIC,URBAN,Male,477.886,404.964,457.609
NORTH,PUBLIC,URBAN,Male,469.162,468.318,466.841
NORTH,PUBLIC,URBAN,Female,556.325,530.127,530.343
NORTH,PUBLIC,URBAN,Male,575.175,538.568,565.405
NORTH,PUBLIC,URBAN,Female,454.284,449.901,469.731
NORTH,PUBLIC,URBAN,Male,642.709,565.273,590.022
NORTH,PUBLIC,URBAN,Female,613.187,541.882,611.47
NORTH,PUBLIC,URBAN,Female,487.311,452.284,503.861
NORTH,PUBLIC,URBAN,Female,461.373,481.594,479.336
NORTH,PUBLIC,URBAN,Female,434.032,411.615,425.905
NORTH,PUBLIC,URBAN,Female,515.509,541.088,526.613
NORTH,PUBLIC,URBAN,Female,439.562,476.034,385.155
NORTH,PUBLIC,URBAN,Female,478.665,544.265,512.626
NORTH,PUBLIC,URBAN,Female,467.526,446.565,470.664
NORTH,PUBLIC,URBAN,Male,399.992,416.993,404.178
NORTH,PUBLIC,URBAN,Female,506.629,507.409,542.093
NORTH,PUBLIC,URBAN,Female,476.172,460.863,477.098
NORTH,PUBLIC,URBAN,Male,508.187,471.205,531.835
NORTH,PUBLIC,URBAN,Male,498.917,436.24,442.689
NORTH,PUBLIC,URBAN,Male,628.455,492.216,580.698
NORTH,PUBLIC,URBAN,Female,462.853,534.098,521.764
NORTH,PUBLIC,URBAN,Female,460.983,416.222,452.947
NORTH,PUBLIC,URBAN,Male,516.288,567.759,563.913
NORTH,PUBLIC,URBAN,Male,476.094,467.676,492.857
SOUTH,PUBLIC,RURAL,Male,345.311,384.996,328.273
SOUTH,PUBLIC,RURAL,Male,339.235,329.581,313.074
SOUTH,PUBLIC,RURAL,Female,488.246,455.938,538.736
SOUTH,PUBLIC,RURAL,Male,418.453,380.906,452.014
SOUTH,PUBLIC,RURAL,Female,432.941,523.613,497.706
SOUTH,PUBLIC,RURAL,Male,376.468,300.791,343.193
SOUTH,PUBLIC,RURAL,Female,418.142,404.308,449.217
SOUTH,PUBLIC,RURAL,Female,322.644,430.043,446.233
SOUTH,PUBLIC,RURAL,Female,354.58,383.179,449.963
SOUTH,PUBLIC,RURAL,Male,296.939,305.523,361.563
SOUTH,PUBLIC,RURAL,Female,388.853,430.043,416.58
SOUTH,PUBLIC,RURAL,Male,424.685,413.785,457.609
SOUTH,PUBLIC,RURAL,Male,383.868,352.036,369.955
SOUTH,PUBLIC,RURAL,Male,358.709,400.954,403.525
SOUTH,PUBLIC,RURAL,Female,461.45,466.899,514.118
SOUTH,PUBLIC,RURAL,Female,353.957,390.169,407.535
SOUTH,PUBLIC,RURAL,Female,398.512,412.569,442.316
