Total Alar BeakHead Humerus Keel
156 245 31.6 18.5 20.5
153 240 31.0 18.4 20.6
155 243 31.5 18.6 20.3
157 238 30.9 18.4 20.2
164 248 32.7 19.1 21.2
158 240 31.3 18.6 22.0
161 246 32.3 19.3 21.8
157 235 31.5 18.1 19.8
158 244 31.4 18.5 21.6
155 236 30.3 18.5 20.1
159 236 31.5 18.0 21.5
156 240 31.5 18.2 20.6
152 232 30.3 17.2 19.8
155 237 31.0 18.5 20.0
165 245 33.1 19.8 22.7
162 239 30.3 18.0 23.1
159 245 31.8 18.5 21.7
155 243 30.9 18.5 21.3
152 230 30.4 17.3 18.6
155 238 31.2 17.9 19.3
163 242 31.0 18.1 20.7
159 238 31.5 18.4 20.3
155 235 30.7 17.7 19.6
153 237 30.6 18.6 20.4
164 248 32.3 18.8 20.9
154 240 30.4 17.9 19.6
153 236 30.9 17.7 20.2
163 247 32.0 19.0 20.9
155 239 32.8 18.6 21.2
158 238 31.0 18.8 22.0
160 244 31.1 18.6 20.5
157 245 32.0 19.1 20.0
156 237 30.9 18.0 20.3
153 238 30.5 18.2 20.9
163 246 32.5 18.6 21.9
155 240 31.4 18.0 20.7
160 242 32.6 18.8 21.7
160 250 31.7 18.8 22.5
157 245 32.2 19.5 21.4
153 231 30.1 17.3 19.8
162 243 31.6 18.8 21.3
159 247 30.9 18.1 19.0
162 252 31.9 19.1 22.2
159 242 30.8 18.2 20.5
163 249 33.4 19.5 22.8
156 237 31.7 18.2 20.3
161 245 32.1 19.1 20.8
162 247 31.9 19.1 20.4
162 245 32.5 18.5 21.1
